"OPTICSClusteringWrapper(metric=euclidean, algorithm=brute, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=euclidean, algorithm=ball_tree, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=euclidean, algorithm=kd_tree, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=brute, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=ball_tree, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=kd_tree, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=brute, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=ball_tree, xi=0.1, min_cluster_size=0.1, min_samples=10)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=kd_tree, xi=0.1, min_cluster_size=0.1, min_samples=10)_0"
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,2,2,2,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0
